trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
1 active 0 0.0 nan nan 0.30049106383180013 -0.0013550091299989752 0.01576845572073049 -0.02281026450577637 0.09013409847952814 nan nan 1675957020.7657034
2 active 0 0.0 nan nan 0.41037316994003914 -0.010435016177929638 0.04355401048774177 -0.027007360626261752 0.0854227685246175 nan nan 1675957027.3279462
3 active 0 0.0 nan nan 0.39359052527979405 -0.015780548549315602 0.024978605649327523 -0.02489176862901166 0.09267828530960154 nan nan 1675957033.8251035
4 active 0 nan nan nan 0.20407561291870416 0.07398181376361912 -0.02677706436459637 0.11426774387376616 0.0021876362902747415 nan nan 1675957040.1764357
5 active 0 0.0 nan nan 0.38642487989533614 -0.014342157555786344 0.018596222561107267 -0.025335786805134382 0.0866634434880652 nan nan 1675957048.7318268
6 active 0 0.0 nan nan 0.3901563080087433 -0.017921794384926595 0.027449028527537833 -0.0269710061306794 0.09001369778818658 nan nan 1675957054.8725512
7 active 0 nan nan nan 0.2696316749677294 -0.01657868631258433 -0.004290585653086376 -0.031858107971817984 0.08666823249485578 nan nan 1675957061.5321436
8 active 0 0.0 nan nan 0.3306017205980011 -0.023023140420458253 0.026273854062517477 -0.025684648071498218 0.08987541262205456 nan nan 1675957067.9101386
9 active 0 nan nan nan 0.34020204762357253 -0.02353172420718482 0.012089752160249212 -0.03058889500349295 0.09533453457982377 nan nan 1675957074.8058016
10 active 0 nan nan nan 0.4160923430528651 -0.031212686639743914 0.05401586326454777 -0.034847782145615264 0.09926428672256293 nan nan 1675957081.657904
11 active 0 0.0 nan nan 0.39373462398221576 -0.024453191004549436 0.028778360239120504 -0.027709489605934612 0.09563752808836012 nan nan 1675957088.4330049
12 active 0 0.0 nan nan 0.3723401052720738 -0.021367140763139374 0.031719323575857494 -0.027310196429785338 0.09179440687772611 nan nan 1675957094.80093
13 active 0 0.0 nan nan 0.46578417541957867 -0.029392904354906713 0.03358063964743707 -0.01909309176287956 0.100262005223617 nan nan 1675957101.0776517
14 active 0 0.0 nan nan 0.41085661678323454 -0.02169686930710865 0.03579890202260538 -0.023837910490134374 0.09406899392986079 nan nan 1675957108.0136492
15 active 0 nan nan nan 0.4153068347901018 -0.03160988862717847 0.03479462872638439 -0.02805461155933937 0.08831179230469743 nan nan 1675957114.4556847
16 active 0 0.0 nan nan 0.40670280203532777 -0.02818998155397953 0.04158341247314312 -0.022066824581139153 0.09297972091645856 nan nan 1675957120.7236724
17 active 0 nan nan nan 0.42762068912107776 -0.02430403738563846 0.04098758798287616 -0.02259200833523468 0.0906995607799923 nan nan 1675957126.9883397
18 active 0 0.0 nan nan 0.3989373636579452 -0.02584263643960373 0.040712350636861294 -0.01953528200833114 0.0982888104398788 nan nan 1675957133.2747884
19 active 0 0.0 nan nan 0.46854958100919336 -0.027901559945363003 0.027950463421438254 -0.021221338193840686 0.09716438553042783 nan nan 1675957139.6863527
20 active 0 nan nan nan 0.41738576428622537 -0.020528066827673455 0.029235976695046517 -0.014264581133431443 0.09396084588033671 nan nan 1675957146.4712517
21 active 0 0.0 nan nan 0.3651761836915197 -0.025546832357226823 0.005683587400326151 -0.02676977054727948 0.09291801611683104 nan nan 1675957152.9503975
22 active 0 0.0 nan nan 0.4584965996514247 -0.01802425275421224 0.034814015792142605 -0.01563026414172445 0.10612847383936536 nan nan 1675957159.5005512
23 active 0 0.0 nan nan 0.4013050380971261 -0.021458301511723867 0.029270192540138185 -0.025797869098886924 0.09182337268952911 nan nan 1675957166.0888002
24 active 0 nan nan nan 0.44599700898232586 -0.022978659980797348 0.042688636295438065 -0.01982653364145549 0.1060972740479213 nan nan 1675957172.2670658
25 active 0 0.0 nan nan 0.41711514569186664 -0.02115579838488974 0.033179051591792574 -0.019829233286776788 0.1007977736911691 nan nan 1675957178.3792884
26 active 0 0.0 nan nan 0.38232268736994357 -0.027436494223145702 0.036768647224921236 -0.01889856169772103 0.1025741665174183 nan nan 1675957184.5646975
27 active 0 nan nan nan 0.572238425272427 -0.02983033131768119 0.05757035245524733 -0.01349945745059056 0.11547717820171705 nan nan 1675957190.8355944
28 active 0 0.0 nan nan 0.4412883718609341 -0.023240871572877048 0.03322655408723263 -0.0230793184805011 0.09580148485252782 nan nan 1675957197.0284927
29 active 0 nan nan nan 0.5392754762443297 -0.02401588020337043 0.0467403921704469 -0.010036928807473727 0.10402154526294521 nan nan 1675957203.153312
30 active 0 0.0 nan nan 0.44139561001840505 -0.02606595725929065 0.03307614919300583 -0.023049277083372573 0.09363595860651708 nan nan 1675957209.6862154
